department,quarter,no_of_workers,defects_day,Total_Produced
Sweatshirt,Quarter3,60.3,4.3,357.5
Sweatshirt,Quarter3,66.6,6.3,393.3
Sweatshirt,Quarter1,56.5,7.6,380.3
Gloves,Quarter2,83.4,8.2,642.6
Gloves,Quarter1,59.9,2.7,471.1
T-Shirt,Quarter3,37.5,7.5,217.5
Gloves,Quarter4,88.5,3.2,698.4
T-Shirt,Quarter4,33.1,6.7,291.2
Sweatshirt,Quarter1,13.1,9.5,23.9
T-Shirt,Quarter2,12.6,7.6,65.4
Sweatshirt,Quarter3,53.7,0.3,213.9
Gloves,Quarter3,88.6,4.7,881.3
Sweatshirt,Quarter4,88.7,4.2,430.9
Gloves,Quarter3,83.3,3.3,826.4
Sweatshirt,Quarter1,87.8,3.6,431.8
Gloves,Quarter2,27.7,6.5,285.2
Sweatshirt,Quarter4,38.3,6.1,185.4
T-Shirt,Quarter1,22.6,5.1,130.5
Gloves,Quarter2,47.2,9.2,510.0
Sweatshirt,Quarter4,59.3,8.5,279.5
Sweatshirt,Quarter1,80.5,3.1,399.4
Sweatshirt,Quarter1,56.7,3.6,276.3
Gloves,Quarter1,39.4,8.7,385.3
Gloves,Quarter3,89.8,4.1,893.9
Sweatshirt,Quarter4,81.1,9.0,306.4
Gloves,Quarter2,24.6,6.1,258.4
Gloves,Quarter4,79.8,2.8,795.2
Sweatshirt,Quarter3,86.1,4.0,504.6
Gloves,Quarter4,20.7,4.4,202.6
T-Shirt,Quarter2,72.1,8.6,487.5
Gloves,Quarter2,38.7,4.4,373.8
Gloves,Quarter4,42.6,3.0,459.6
T-Shirt,Quarter1,40.3,1.1,360.5
Gloves,Quarter1,64.1,4.0,572.9
T-Shirt,Quarter1,90.1,1.3,629.4
Sweatshirt,Quarter1,82.6,6.1,572.1
Sweatshirt,Quarter3,61.6,3.1,366.5
Sweatshirt,Quarter4,81.5,7.9,318.1
Gloves,Quarter4,94.9,4.3,940.4
T-Shirt,Quarter2,48.8,4.0,337.6
T-Shirt,Quarter1,57.1,9.4,495.1
Sweatshirt,Quarter2,76.6,5.3,525.6
T-Shirt,Quarter3,41.9,5.9,239.6
Sweatshirt,Quarter2,59.6,3.5,294.5
T-Shirt,Quarter1,19.6,2.0,133.2
Sweatshirt,Quarter4,55.0,6.1,207.8
T-Shirt,Quarter2,45.6,7.4,311.8
Gloves,Quarter1,76.7,1.3,765.7
Gloves,Quarter3,84.7,3.2,840.6
Sweatshirt,Quarter1,10.3,3.7,37.5
Sweatshirt,Quarter2,59.8,2.3,296.7
Gloves,Quarter2,42.1,1.9,334.9
Sweatshirt,Quarter3,32.9,9.5,211.3
Gloves,Quarter2,59.2,8.5,575.0
T-Shirt,Quarter4,30.1,1.5,176.1
Gloves,Quarter2,74.1,3.8,585.2
Sweatshirt,Quarter4,28.3,2.1,167.7
Sweatshirt,Quarter2,67.2,7.6,462.8
Gloves,Quarter2,79.1,5.5,627.3
Gloves,Quarter4,29.7,5.3,310.8
Sweatshirt,Quarter3,10.1,8.3,62.4
Gloves,Quarter2,93.6,1.3,746.2
T-Shirt,Quarter4,74.7,4.0,589.6
Sweatshirt,Quarter4,47.5,8.9,163.3
Gloves,Quarter1,62.3,3.7,619.3
T-Shirt,Quarter3,14.6,4.4,127.0
T-Shirt,Quarter4,32.4,4.8,286.8
T-Shirt,Quarter1,40.9,8.2,278.1
T-Shirt,Quarter4,72.0,6.5,556.5
Sweatshirt,Quarter2,69.8,7.0,265.2
Sweatshirt,Quarter4,47.8,8.4,222.2
Gloves,Quarter2,65.5,9.5,645.5
Sweatshirt,Quarter2,98.2,4.9,672.7
Sweatshirt,Quarter4,75.1,8.8,282.8
T-Shirt,Quarter3,81.9,6.3,724.5
Gloves,Quarter4,37.2,4.6,288.4
T-Shirt,Quarter1,25.2,6.5,156.9
Sweatshirt,Quarter2,18.1,6.3,53.5
Sweatshirt,Quarter3,84.3,8.2,497.6
T-Shirt,Quarter3,37.3,4.0,286.4
Sweatshirt,Quarter2,93.8,4.9,365.4
Sweatshirt,Quarter4,34.0,1.5,131.5
T-Shirt,Quarter2,41.3,4.7,357.6
Gloves,Quarter2,45.7,9.7,437.6
Gloves,Quarter2,82.5,8.7,807.6
T-Shirt,Quarter2,35.2,4.5,312.3
Sweatshirt,Quarter3,24.4,8.5,80.6
Sweatshirt,Quarter2,36.0,0.1,179.7
Gloves,Quarter3,68.1,5.8,663.6
Sweatshirt,Quarter4,68.0,1.6,335.2
Sweatshirt,Quarter3,21.9,1.0,129.4
Sweatshirt,Quarter3,47.6,6.9,312.5
T-Shirt,Quarter1,55.5,0.3,332.7
Sweatshirt,Quarter2,88.6,1.0,618.2
Sweatshirt,Quarter2,83.4,4.8,402.6
T-Shirt,Quarter4,91.1,4.7,805.8
Sweatshirt,Quarter1,29.9,5.1,104.3
Sweatshirt,Quarter3,14.4,0.4,100.4
Gloves,Quarter2,38.2,7.3,336.5
Gloves,Quarter1,43.4,2.0,341.2
Gloves,Quarter1,38.1,6.8,291.2
T-Shirt,Quarter3,72.8,9.2,427.6
Gloves,Quarter1,27.1,2.1,266.8
T-Shirt,Quarter2,23.0,2.9,204.1
T-Shirt,Quarter1,54.3,7.9,317.9
Sweatshirt,Quarter2,21.9,2.4,102.3
Sweatshirt,Quarter3,51.9,1.3,310.1
Gloves,Quarter4,85.7,7.9,763.4
T-Shirt,Quarter2,33.9,9.5,242.7
T-Shirt,Quarter3,29.6,0.4,177.2
Gloves,Quarter3,39.7,8.2,332.7
Gloves,Quarter4,56.9,5.4,506.7
Gloves,Quarter1,88.7,8.1,862.7
T-Shirt,Quarter2,52.4,6.4,301.6
T-Shirt,Quarter4,89.4,3.9,621.9
T-Shirt,Quarter1,86.1,4.4,766.1
T-Shirt,Quarter3,64.6,5.4,446.8
Sweatshirt,Quarter2,45.7,7.9,296.2
T-Shirt,Quarter2,61.2,9.6,357.6
Gloves,Quarter4,20.2,4.1,197.9
Gloves,Quarter3,38.4,5.0,369.0
T-Shirt,Quarter3,35.1,2.1,206.4
T-Shirt,Quarter3,62.6,3.2,435.0
T-Shirt,Quarter3,49.3,7.6,436.1
Sweatshirt,Quarter2,32.9,1.5,194.4
T-Shirt,Quarter3,52.1,7.4,305.2
T-Shirt,Quarter3,92.7,3.9,830.4
Gloves,Quarter3,99.7,1.6,894.1
T-Shirt,Quarter1,34.3,9.3,212.2
Sweatshirt,Quarter1,33.5,4.0,122.0
Sweatshirt,Quarter4,32.5,8.1,146.3
T-Shirt,Quarter2,62.8,8.0,478.4
T-Shirt,Quarter3,26.6,7.2,198.4
Gloves,Quarter1,12.6,2.2,111.2
Gloves,Quarter2,54.4,5.3,473.7
Gloves,Quarter2,63.1,4.2,622.6
Gloves,Quarter1,59.8,1.3,655.2
Sweatshirt,Quarter3,85.1,8.5,331.9
T-Shirt,Quarter3,75.1,7.7,585.4
Gloves,Quarter3,52.4,8.3,455.0
Sweatshirt,Quarter2,19.8,1.8,135.0
T-Shirt,Quarter3,94.8,3.1,847.0
Gloves,Quarter4,17.0,1.2,184.6
T-Shirt,Quarter4,44.7,9.6,373.5
T-Shirt,Quarter4,23.8,3.4,207.4
T-Shirt,Quarter2,71.8,0.4,645.4
Sweatshirt,Quarter4,88.8,1.0,620.6
Sweatshirt,Quarter4,58.7,5.6,399.7
Gloves,Quarter2,54.8,2.5,545.5
Gloves,Quarter1,50.9,6.7,444.7
T-Shirt,Quarter1,53.8,7.8,299.4
Gloves,Quarter4,75.5,5.9,824.6
Sweatshirt,Quarter1,81.6,6.8,482.8
Gloves,Quarter4,65.7,7.2,708.3
Sweatshirt,Quarter3,92.2,9.3,350.2
Sweatshirt,Quarter1,90.3,8.4,434.7
Gloves,Quarter4,47.2,0.8,471.2
Gloves,Quarter1,34.8,3.5,306.2
Gloves,Quarter1,77.6,7.8,768.2
Sweatshirt,Quarter3,59.3,9.0,269.5
Gloves,Quarter2,36.1,4.0,276.8
T-Shirt,Quarter2,61.5,6.3,479.4
Sweatshirt,Quarter1,46.3,4.3,269.2
Sweatshirt,Quarter2,89.8,1.7,354.1
Gloves,Quarter2,63.2,7.6,482.8
Gloves,Quarter3,77.6,8.3,837.0
Sweatshirt,Quarter2,40.5,9.7,183.1
Gloves,Quarter3,41.6,3.0,410.0
T-Shirt,Quarter4,17.1,3.9,94.8
Sweatshirt,Quarter4,45.6,0.6,273.0
T-Shirt,Quarter3,76.4,1.4,686.2
Sweatshirt,Quarter1,79.2,5.5,305.8
Gloves,Quarter1,88.5,2.4,703.2
Gloves,Quarter1,12.0,5.4,103.8
Sweatshirt,Quarter4,61.9,4.3,358.5
Gloves,Quarter4,31.9,0.9,348.2
Sweatshirt,Quarter1,16.5,1.9,95.2
T-Shirt,Quarter1,15.8,9.6,113.4
T-Shirt,Quarter1,68.0,7.8,392.4
T-Shirt,Quarter3,68.3,0.9,613.8
Gloves,Quarter2,80.1,1.4,718.1
Sweatshirt,Quarter4,39.6,1.5,196.5
T-Shirt,Quarter3,25.9,3.3,200.6
Sweatshirt,Quarter2,60.6,8.8,354.8
Gloves,Quarter1,97.0,4.2,1062.8
T-Shirt,Quarter2,41.2,6.9,233.4
T-Shirt,Quarter3,82.1,1.3,654.2
Sweatshirt,Quarter4,95.9,1.3,476.9
Sweatshirt,Quarter2,84.4,6.5,324.6
Sweatshirt,Quarter3,67.9,9.7,252.2
Sweatshirt,Quarter3,60.1,1.4,296.3
Sweatshirt,Quarter3,94.5,6.8,546.6
Gloves,Quarter3,86.0,6.3,755.1
Sweatshirt,Quarter4,12.3,4.4,48.3
Gloves,Quarter3,80.5,0.2,885.1
Gloves,Quarter1,69.9,3.2,549.6
Sweatshirt,Quarter1,20.5,2.4,136.3
Sweatshirt,Quarter4,21.7,5.5,92.0
Sweatshirt,Quarter4,31.0,4.4,110.8
Gloves,Quarter1,77.6,0.6,853.0
T-Shirt,Quarter1,91.4,2.9,636.9
Sweatshirt,Quarter1,20.1,7.2,133.5
Gloves,Quarter2,38.1,6.8,336.1
Sweatshirt,Quarter2,90.2,8.5,442.5
T-Shirt,Quarter2,30.9,0.3,277.8
Sweatshirt,Quarter1,39.3,9.3,168.6
T-Shirt,Quarter4,90.6,5.1,528.3
Sweatshirt,Quarter4,52.0,4.0,200.0
Sweatshirt,Quarter4,42.7,3.7,159.7
Gloves,Quarter4,12.1,4.2,120.5
T-Shirt,Quarter3,86.5,7.7,763.1
Gloves,Quarter2,98.5,5.0,980.0
Sweatshirt,Quarter2,63.2,4.2,311.8
Sweatshirt,Quarter2,81.7,0.4,407.3
Sweatshirt,Quarter2,41.3,1.2,161.6
Gloves,Quarter1,54.0,4.5,481.5
Sweatshirt,Quarter1,30.6,3.2,207.8
Sweatshirt,Quarter2,37.3,4.4,173.3
Gloves,Quarter3,24.1,8.0,233.0
Sweatshirt,Quarter4,13.9,8.8,57.0
Gloves,Quarter3,27.1,4.8,256.6
Sweatshirt,Quarter2,52.7,4.6,206.2
Gloves,Quarter3,46.2,5.0,400.8
T-Shirt,Quarter3,53.9,7.8,315.6
T-Shirt,Quarter1,68.3,2.6,404.6
Gloves,Quarter1,65.9,4.7,583.7
T-Shirt,Quarter4,81.3,5.4,634.2
Gloves,Quarter3,96.7,1.0,1061.7
Gloves,Quarter3,45.7,1.1,363.4
T-Shirt,Quarter4,65.3,7.4,442.3
Gloves,Quarter3,31.5,7.6,244.4
T-Shirt,Quarter4,22.8,3.1,179.3
Gloves,Quarter2,59.1,1.3,530.6
Gloves,Quarter1,46.4,2.6,507.8
T-Shirt,Quarter2,54.6,1.5,377.7
Sweatshirt,Quarter2,92.6,9.9,443.2
Sweatshirt,Quarter1,39.4,9.1,218.2
Gloves,Quarter3,13.6,6.2,90.2
Sweatshirt,Quarter4,82.6,5.9,572.3
T-Shirt,Quarter3,64.8,9.4,499.6
Gloves,Quarter2,58.5,9.9,496.8
Gloves,Quarter4,59.9,9.9,509.4
T-Shirt,Quarter2,62.4,4.9,364.6
T-Shirt,Quarter4,99.4,2.3,892.3
Sweatshirt,Quarter3,88.7,1.4,352.0
Gloves,Quarter2,33.8,4.8,260.8
T-Shirt,Quarter4,19.6,9.6,147.6
Sweatshirt,Quarter1,57.8,3.8,219.8
Gloves,Quarter1,29.2,4.7,258.1
Gloves,Quarter4,48.9,0.2,439.5
Gloves,Quarter2,74.3,8.9,790.6
Gloves,Quarter2,45.1,9.5,377.4
Gloves,Quarter3,15.3,0.6,167.1
T-Shirt,Quarter3,78.5,6.7,457.6
Gloves,Quarter1,72.5,7.2,565.6
Sweatshirt,Quarter3,83.2,7.9,400.2
T-Shirt,Quarter1,98.8,7.0,783.4
Gloves,Quarter1,89.5,7.6,790.3
Gloves,Quarter1,40.4,7.2,422.8
T-Shirt,Quarter3,55.7,3.0,498.3
Gloves,Quarter4,31.6,1.1,314.9
Gloves,Quarter2,39.1,9.6,342.3
Sweatshirt,Quarter1,72.6,1.3,431.7
T-Shirt,Quarter4,87.3,8.8,672.0
Sweatshirt,Quarter4,11.1,4.7,30.3
Sweatshirt,Quarter4,13.2,9.6,56.4
T-Shirt,Quarter4,93.8,5.4,838.8
Sweatshirt,Quarter2,79.1,5.8,304.8
Sweatshirt,Quarter2,58.2,4.4,286.6
Gloves,Quarter1,91.8,8.7,891.9
Sweatshirt,Quarter3,74.2,2.9,362.3
Gloves,Quarter1,88.8,5.6,788.0
Gloves,Quarter3,77.7,4.4,845.9
T-Shirt,Quarter3,80.2,2.4,556.6
Sweatshirt,Quarter4,23.1,8.8,144.1
Gloves,Quarter1,61.5,5.9,658.8
Gloves,Quarter3,86.9,1.6,692.0
Gloves,Quarter3,21.7,6.1,183.1
T-Shirt,Quarter4,51.4,2.4,352.6
Gloves,Quarter2,79.8,5.0,872.8
Sweatshirt,Quarter4,86.9,7.7,411.4
T-Shirt,Quarter1,33.1,3.5,224.7
Sweatshirt,Quarter3,86.9,9.7,405.4
Gloves,Quarter4,17.2,1.5,134.6
Sweatshirt,Quarter1,83.3,2.9,407.8
Sweatshirt,Quarter3,86.3,2.7,512.4
Sweatshirt,Quarter1,88.6,0.1,620.1
T-Shirt,Quarter3,67.4,9.8,509.8
Sweatshirt,Quarter1,39.0,6.2,182.6
T-Shirt,Quarter1,83.7,9.4,725.1
T-Shirt,Quarter3,80.1,1.2,719.7
Sweatshirt,Quarter4,80.8,9.6,384.8
T-Shirt,Quarter1,42.1,2.6,244.8
T-Shirt,Quarter2,40.0,7.5,232.5
Gloves,Quarter4,27.5,5.1,269.9
T-Shirt,Quarter1,47.7,8.1,365.4
T-Shirt,Quarter4,75.5,5.5,523.0
Gloves,Quarter4,19.9,6.3,200.0
T-Shirt,Quarter3,68.8,2.0,613.2
Sweatshirt,Quarter4,33.7,1.4,199.4
Sweatshirt,Quarter4,75.3,6.5,370.0
Gloves,Quarter2,78.8,6.0,618.4
T-Shirt,Quarter3,82.3,9.8,711.3
Sweatshirt,Quarter4,92.1,4.5,548.1
T-Shirt,Quarter2,76.9,3.6,611.6
Sweatshirt,Quarter4,18.3,5.3,93.9
Gloves,Quarter2,75.2,9.8,722.6
T-Shirt,Quarter4,31.5,9.8,242.2
Gloves,Quarter4,92.3,4.9,908.3
T-Shirt,Quarter1,80.0,5.2,554.8
Gloves,Quarter1,17.8,8.1,134.3
Sweatshirt,Quarter3,17.3,5.7,52.1
Sweatshirt,Quarter3,18.0,8.7,63.3
T-Shirt,Quarter4,54.4,1.3,379.5
Gloves,Quarter1,85.1,3.7,673.4
T-Shirt,Quarter4,20.8,5.3,135.0
T-Shirt,Quarter1,98.3,5.3,573.9
T-Shirt,Quarter2,19.8,3.1,132.4
Sweatshirt,Quarter1,59.8,0.7,296.9
T-Shirt,Quarter4,15.7,9.6,84.6
Gloves,Quarter3,62.8,0.1,564.9
T-Shirt,Quarter4,82.0,3.3,488.7
Sweatshirt,Quarter4,56.5,6.0,270.5
Sweatshirt,Quarter4,37.6,5.4,247.0
T-Shirt,Quarter2,19.1,3.3,149.5
T-Shirt,Quarter2,34.0,1.3,268.1
T-Shirt,Quarter4,10.7,5.0,59.9
T-Shirt,Quarter3,30.0,5.8,234.2
Gloves,Quarter3,45.0,0.8,404.2
T-Shirt,Quarter3,48.0,1.0,334.0
Sweatshirt,Quarter2,48.2,9.1,183.7
Gloves,Quarter4,80.3,6.0,624.4
Sweatshirt,Quarter3,68.1,2.7,267.0
T-Shirt,Quarter4,66.9,9.8,391.6
Gloves,Quarter2,22.3,4.1,241.2
T-Shirt,Quarter4,14.2,9.9,103.7
Gloves,Quarter3,83.7,4.0,661.6
Gloves,Quarter2,81.4,6.0,720.6
T-Shirt,Quarter2,33.6,4.3,289.5
Sweatshirt,Quarter3,55.8,0.1,278.9
Sweatshirt,Quarter3,47.3,9.1,161.9
Gloves,Quarter2,10.8,8.4,102.0
T-Shirt,Quarter4,11.4,4.7,88.5
Gloves,Quarter1,59.7,3.5,474.1
Sweatshirt,Quarter1,47.6,7.4,318.4
Sweatshirt,Quarter2,26.4,3.4,148.2
T-Shirt,Quarter1,75.6,2.6,448.4
Sweatshirt,Quarter4,63.4,4.1,431.5
Gloves,Quarter2,57.6,0.8,574.4
Sweatshirt,Quarter1,90.0,7.7,426.9
Sweatshirt,Quarter4,36.8,3.9,216.9
T-Shirt,Quarter3,28.5,6.4,250.1
T-Shirt,Quarter2,10.4,9.7,54.1
T-Shirt,Quarter1,69.0,6.3,476.7
T-Shirt,Quarter4,49.3,7.0,288.8
Gloves,Quarter3,57.8,9.0,453.4
Sweatshirt,Quarter3,58.8,4.7,289.3
T-Shirt,Quarter4,34.2,0.5,238.4
Gloves,Quarter2,28.7,1.8,310.3
Sweatshirt,Quarter2,71.2,3.2,346.4
T-Shirt,Quarter2,49.0,4.4,338.6
Sweatshirt,Quarter1,94.2,8.5,633.9
Gloves,Quarter2,37.0,0.8,330.6
Gloves,Quarter2,89.0,7.0,869.0
Sweatshirt,Quarter2,16.5,8.7,57.3
T-Shirt,Quarter2,29.7,7.3,252.7
Sweatshirt,Quarter4,30.4,2.6,210.2
Gloves,Quarter3,95.2,7.5,841.8
T-Shirt,Quarter2,80.9,7.6,712.9
Gloves,Quarter2,12.2,4.4,84.4
T-Shirt,Quarter2,78.1,4.6,542.1
Gloves,Quarter1,27.5,6.9,268.1
Gloves,Quarter2,72.0,3.3,638.1
T-Shirt,Quarter3,91.0,7.5,713.0
Sweatshirt,Quarter1,12.8,3.2,60.8
Sweatshirt,Quarter4,81.6,5.8,559.6
Gloves,Quarter3,34.2,1.0,374.2
T-Shirt,Quarter2,26.5,8.0,151.0
Sweatshirt,Quarter4,75.9,0.7,529.2
T-Shirt,Quarter2,72.0,7.1,640.9
Gloves,Quarter2,74.8,3.9,590.6
T-Shirt,Quarter4,18.5,8.4,149.7
Gloves,Quarter3,31.9,1.3,349.6
T-Shirt,Quarter3,12.0,0.7,82.6
Gloves,Quarter2,91.1,0.5,1001.1
Gloves,Quarter4,65.4,1.9,648.3
Gloves,Quarter1,41.4,0.1,413.9
T-Shirt,Quarter4,12.0,5.2,56.4
T-Shirt,Quarter1,70.4,4.8,624.0
Gloves,Quarter1,80.4,2.3,716.7
T-Shirt,Quarter1,76.1,8.4,592.0
T-Shirt,Quarter4,90.7,0.7,814.9
Sweatshirt,Quarter3,41.4,10.0,187.0
T-Shirt,Quarter3,75.5,5.1,598.9
T-Shirt,Quarter3,32.7,5.8,255.8
T-Shirt,Quarter4,78.5,5.1,534.2
T-Shirt,Quarter3,47.0,5.6,364.8
T-Shirt,Quarter3,95.8,0.2,670.4
Gloves,Quarter4,50.1,5.1,440.7
T-Shirt,Quarter2,14.0,3.6,87.2
Sweatshirt,Quarter3,89.0,1.7,621.3
Sweatshirt,Quarter1,17.0,3.3,61.4
T-Shirt,Quarter1,44.7,6.1,256.0
Gloves,Quarter4,34.2,1.7,271.9
Sweatshirt,Quarter2,23.6,1.4,162.4
T-Shirt,Quarter4,60.1,6.5,407.7
Gloves,Quarter4,63.4,9.3,542.7
Gloves,Quarter2,16.4,10.0,144.0
Gloves,Quarter3,19.8,9.2,190.2
T-Shirt,Quarter2,12.0,8.7,57.9
Sweatshirt,Quarter2,35.7,6.9,171.6
Sweatshirt,Quarter4,36.2,8.9,127.0
T-Shirt,Quarter3,56.1,9.0,421.8
Sweatshirt,Quarter2,33.3,4.1,162.4
Sweatshirt,Quarter2,12.0,7.8,36.6
Gloves,Quarter4,37.2,2.2,332.6
Gloves,Quarter4,29.4,3.6,224.4
Sweatshirt,Quarter3,93.6,5.4,462.6
T-Shirt,Quarter4,19.2,8.8,146.4
Sweatshirt,Quarter4,75.3,6.0,283.2
T-Shirt,Quarter2,54.9,2.4,489.3
T-Shirt,Quarter1,44.9,7.2,247.8
Sweatshirt,Quarter1,53.6,9.4,258.6
Sweatshirt,Quarter2,97.3,8.7,655.0
Sweatshirt,Quarter2,19.3,9.0,108.1
T-Shirt,Quarter2,37.1,2.5,252.2
Gloves,Quarter3,87.1,5.1,681.5
Gloves,Quarter1,95.3,1.4,951.6
T-Shirt,Quarter4,56.3,1.6,336.2
Gloves,Quarter2,34.5,4.7,374.8
T-Shirt,Quarter3,46.2,8.0,391.8
Gloves,Quarter3,15.2,8.9,110.1
T-Shirt,Quarter2,24.5,3.7,213.1
Sweatshirt,Quarter2,50.7,7.8,288.6
Sweatshirt,Quarter4,38.0,1.3,224.1
Gloves,Quarter4,94.1,1.3,751.5
Sweatshirt,Quarter3,89.2,6.4,344.0
T-Shirt,Quarter2,75.4,0.8,601.6
Sweatshirt,Quarter2,66.2,3.2,261.6
Gloves,Quarter3,60.5,9.1,456.7
T-Shirt,Quarter2,13.2,5.6,100.0
Sweatshirt,Quarter3,43.2,8.9,155.0
T-Shirt,Quarter2,92.6,1.6,643.4
T-Shirt,Quarter2,36.0,9.9,186.3
Gloves,Quarter2,46.5,2.7,413.1
Sweatshirt,Quarter3,82.5,1.1,411.4
T-Shirt,Quarter1,20.7,3.0,156.6
Sweatshirt,Quarter4,68.1,0.8,407.8
Sweatshirt,Quarter1,44.1,1.2,306.3
T-Shirt,Quarter3,17.8,7.8,136.8
Gloves,Quarter2,16.6,3.4,159.2
Gloves,Quarter3,39.4,2.8,425.0
Sweatshirt,Quarter4,47.8,8.0,215.0
T-Shirt,Quarter1,63.2,3.0,499.6
T-Shirt,Quarter2,41.1,8.4,312.0
T-Shirt,Quarter2,11.2,10.0,80.8
Gloves,Quarter1,50.0,4.9,435.3
Gloves,Quarter3,13.2,6.9,91.8
Gloves,Quarter3,23.6,9.7,183.3
Gloves,Quarter1,19.7,5.4,152.2
T-Shirt,Quarter3,59.9,4.9,409.5
Gloves,Quarter4,77.6,8.3,845.3
T-Shirt,Quarter4,79.7,8.5,532.4
Gloves,Quarter2,63.6,2.4,697.2
Sweatshirt,Quarter2,91.8,3.2,541.2
Gloves,Quarter3,38.9,0.6,387.2
Sweatshirt,Quarter4,14.7,2.3,96.0
Sweatshirt,Quarter4,47.9,2.4,280.2
Gloves,Quarter4,98.4,3.9,877.8
T-Shirt,Quarter4,73.8,0.7,442.1
Sweatshirt,Quarter2,50.7,4.0,346.9
Sweatshirt,Quarter3,17.9,1.6,66.8
Gloves,Quarter1,53.6,0.1,482.1
Gloves,Quarter4,26.5,8.3,240.1
T-Shirt,Quarter2,96.3,3.1,568.5
Sweatshirt,Quarter1,14.8,2.8,83.2
Sweatshirt,Quarter4,50.6,3.8,191.0
T-Shirt,Quarter1,66.0,5.1,583.8
Sweatshirt,Quarter3,60.4,0.6,421.0
T-Shirt,Quarter4,78.0,9.2,458.8
T-Shirt,Quarter3,12.1,6.9,58.8
T-Shirt,Quarter2,56.3,4.7,441.0
Gloves,Quarter1,44.7,2.8,483.3
T-Shirt,Quarter2,32.6,7.5,220.7
T-Shirt,Quarter2,45.0,2.3,312.7
Sweatshirt,Quarter2,96.2,4.1,472.8
T-Shirt,Quarter3,98.2,1.1,881.6
T-Shirt,Quarter4,45.6,0.1,318.9
Sweatshirt,Quarter1,79.0,3.2,549.8
Gloves,Quarter3,60.9,4.0,475.2
Sweatshirt,Quarter3,69.7,3.3,414.9
Sweatshirt,Quarter1,33.7,0.8,166.9
Sweatshirt,Quarter4,41.7,6.6,195.3
T-Shirt,Quarter1,92.4,9.6,525.6
Sweatshirt,Quarter1,82.4,8.5,477.4
Sweatshirt,Quarter2,71.1,7.8,489.9
T-Shirt,Quarter4,99.9,7.3,884.5
Gloves,Quarter4,81.8,5.7,643.0
Sweatshirt,Quarter3,18.9,6.5,81.5
Sweatshirt,Quarter1,43.4,1.1,213.7
Gloves,Quarter2,85.8,9.7,676.7
Gloves,Quarter2,51.5,8.4,403.6
T-Shirt,Quarter4,78.3,1.1,624.2
Sweatshirt,Quarter2,78.4,0.5,391.5
Gloves,Quarter1,95.9,2.5,762.2
Sweatshirt,Quarter4,84.1,2.7,331.0
Gloves,Quarter1,34.2,6.4,369.8
T-Shirt,Quarter4,81.0,1.8,484.2
Gloves,Quarter2,21.8,0.5,173.4
T-Shirt,Quarter2,19.3,8.5,148.2
Sweatshirt,Quarter2,90.5,7.1,535.9
Sweatshirt,Quarter1,48.2,9.0,223.0
Sweatshirt,Quarter4,90.3,2.6,446.3
T-Shirt,Quarter4,18.1,4.6,153.7
Gloves,Quarter2,57.8,5.9,618.1
Sweatshirt,Quarter2,10.4,7.5,29.5
Gloves,Quarter2,31.9,9.5,322.4
T-Shirt,Quarter4,78.8,7.1,609.1
Gloves,Quarter2,41.9,3.0,413.0
T-Shirt,Quarter3,73.0,1.4,433.8
Gloves,Quarter2,77.2,0.0,772.0
Gloves,Quarter3,84.7,5.8,750.7
Sweatshirt,Quarter1,58.7,5.5,218.3
T-Shirt,Quarter4,10.8,0.0,64.8
Sweatshirt,Quarter4,93.6,7.6,445.2
Gloves,Quarter4,45.0,7.9,479.2
T-Shirt,Quarter2,46.6,4.5,275.1
Gloves,Quarter3,14.1,6.9,120.3
Gloves,Quarter3,89.1,3.0,888.0
Sweatshirt,Quarter1,86.7,2.4,599.7
Gloves,Quarter4,11.5,4.5,99.0
T-Shirt,Quarter4,82.7,1.2,741.9
T-Shirt,Quarter1,28.5,9.3,228.6
Gloves,Quarter3,100.0,2.1,893.7
Gloves,Quarter3,90.5,1.7,993.8
T-Shirt,Quarter2,92.6,0.5,740.3
Gloves,Quarter4,87.2,0.9,783.9
Gloves,Quarter2,12.3,8.9,92.9
Sweatshirt,Quarter2,13.7,1.0,79.2
Gloves,Quarter3,87.6,6.9,956.7
T-Shirt,Quarter4,64.0,2.0,570.0
T-Shirt,Quarter4,10.4,5.4,77.4
Sweatshirt,Quarter3,49.6,3.8,343.4
Sweatshirt,Quarter3,28.6,0.1,114.3
Sweatshirt,Quarter1,11.4,3.9,33.9
Gloves,Quarter4,56.4,1.2,448.8
Sweatshirt,Quarter3,47.5,3.6,226.7
Sweatshirt,Quarter2,17.1,1.3,100.0
T-Shirt,Quarter2,75.9,6.7,448.7
Gloves,Quarter3,36.9,3.9,357.3
T-Shirt,Quarter1,24.4,6.0,140.4
Sweatshirt,Quarter2,26.7,2.6,128.3
Gloves,Quarter3,82.0,1.2,817.6
Sweatshirt,Quarter2,64.3,9.0,432.1
Gloves,Quarter2,29.8,9.3,249.6
Gloves,Quarter1,58.8,8.0,513.2
T-Shirt,Quarter2,24.2,1.2,168.2
Sweatshirt,Quarter2,36.6,0.3,182.7
Sweatshirt,Quarter1,85.4,4.9,336.7
Gloves,Quarter1,95.3,8.1,1032.1
Gloves,Quarter1,98.5,4.0,973.0
Gloves,Quarter2,43.0,9.8,443.6
Gloves,Quarter1,21.1,5.4,184.5
Sweatshirt,Quarter3,56.2,0.8,392.6
Gloves,Quarter1,55.0,1.9,599.3
Gloves,Quarter1,66.0,2.5,586.5
